"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.62","46.20","NICOLET","7025440","2011-01-01","2011","01","01","","5.0","","1.0","","3.0","","15.0","","0.0","","","M","0.0","","","M","18","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-02","2011","01","02","","3.0","","-1.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-03","2011","01","03","","-2.0","","-5.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-04","2011","01","04","","-4.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-05","2011","01","05","","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-06","2011","01","06","","-6.0","","-13.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-07","2011","01","07","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-08","2011","01","08","","-3.0","","-10.0","","-6.5","","24.5","","0.0","","0.0","","0.5","","0.5","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-09","2011","01","09","","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","4.8","","4.8","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-10","2011","01","10","","","M","-7.0","","","M","","M","","M","0.0","","0.0","","0.0","","15","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-11","2011","01","11","","-7.0","","-15.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-12","2011","01","12","","-5.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","15","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-13","2011","01","13","","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-14","2011","01","14","","-8.5","","-13.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-15","2011","01","15","","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","6.5","","6.5","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-16","2011","01","16","","-9.5","","-20.5","","-15.0","","33.0","","0.0","","0.0","","0.5","","0.5","","20","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-17","2011","01","17","","-12.5","","-28.0","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-18","2011","01","18","","-3.0","","-25.0","","-14.0","","32.0","","0.0","","0.0","","4.0","","4.0","","17","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-19","2011","01","19","","-7.0","","-8.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-20","2011","01","20","","","M","-19.0","","","M","","M","","M","0.0","","0.0","","0.0","","18","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-21","2011","01","21","","-9.0","","","M","","M","","M","","M","0.0","","2.6","","2.6","","18","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-22","2011","01","22","","-15.0","","-22.0","","-18.5","","36.5","","0.0","","0.0","","0.3","","0.3","","20","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-23","2011","01","23","","-19.0","","-26.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-24","2011","01","24","","-20.0","","-34.0","","-27.0","","45.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-25","2011","01","25","","-14.0","","-26.0","","-20.0","","38.0","","0.0","","0.0","","3.4","","3.4","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-26","2011","01","26","","","M","-23.0","","","M","","M","","M","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-27","2011","01","27","","-5.0","","-13.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-28","2011","01","28","","-4.0","","-13.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-29","2011","01","29","","-6.0","","-10.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-30","2011","01","30","","-12.0","","-24.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-01-31","2011","01","31","","-16.0","","-23.0","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-01","2011","02","01","","-12.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-02","2011","02","02","","-12.0","","-22.0","","-17.0","","35.0","","0.0","","0.0","","12.6","","12.6","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-03","2011","02","03","","-8.0","","-25.0","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-04","2011","02","04","","-4.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","32","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-05","2011","02","05","","-1.0","","-14.0","","-7.5","","25.5","","0.0","","0.0","","7.0","","7.0","","32","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-06","2011","02","06","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-07","2011","02","07","","0.0","","-10.0","","-5.0","","23.0","","0.0","","0.0","","2.0","","2.0","","35","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-08","2011","02","08","","-9.5","","","M","","M","","M","","M","0.0","","0.5","","0.5","","40","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-09","2011","02","09","","-7.0","","-26.0","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-10","2011","02","10","","-11.0","","-17.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-11","2011","02","11","","-8.0","","-22.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-12","2011","02","12","","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","","1.5","","1.5","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-13","2011","02","13","","-5.0","","-24.0","","-14.5","","32.5","","0.0","","0.0","","18.8","","18.8","","45","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-14","2011","02","14","","-4.0","","-8.0","","-6.0","","24.0","","0.0","","0.0","","5.8","","5.8","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-15","2011","02","15","","-12.0","","-20.0","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-16","2011","02","16","","-5.0","","-23.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-17","2011","02","17","","4.0","","-8.0","","-2.0","","20.0","","0.0","","11.0","","0.0","","11.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-18","2011","02","18","","5.0","","0.0","","2.5","","15.5","","0.0","","0.5","","1.5","","2.0","","52","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-19","2011","02","19","","","M","","M","","M","","M","","M","0.0","","0.0","E","0.0","E","50","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-20","2011","02","20","","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-21","2011","02","21","","-10.0","","-18.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-22","2011","02","22","","-6.0","","-17.5","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-23","2011","02","23","","-4.5","","-23.0","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-24","2011","02","24","","-3.0","","-24.0","","-13.5","","31.5","","0.0","","0.0","","0.0","T","0.0","T","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-25","2011","02","25","","-2.5","","-12.0","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-26","2011","02","26","","-10.5","","-17.0","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-27","2011","02","27","","-2.0","","-18.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-02-28","2011","02","28","","0.0","","-8.0","","-4.0","","22.0","","0.0","","0.0","","5.0","","5.0","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-01","2011","03","01","","-1.0","","-14.0","","-7.5","","25.5","","0.0","","0.0","","2.0","","2.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-02","2011","03","02","","0.0","","-12.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-03","2011","03","03","","-12.0","","-25.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-04","2011","03","04","","0.5","","-27.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-05","2011","03","05","","5.0","","","M","","M","","M","","M","19.6","","3.8","","23.4","","55","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-06","2011","03","06","","-3.5","","-5.0","","-4.3","","22.3","","0.0","","0.0","","5.6","","5.6","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-07","2011","03","07","","-7.0","","-10.0","","-8.5","","26.5","","0.0","","0.0","","4.0","","4.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-08","2011","03","08","","-9.0","","-25.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-09","2011","03","09","","-2.0","","-21.0","","-11.5","","29.5","","0.0","","0.0","","10.2","","10.2","","62","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-10","2011","03","10","","2.0","","-5.0","","-1.5","","19.5","","0.0","","17.2","","8.0","","25.2","","70","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-11","2011","03","11","","8.0","","0.5","","4.3","","13.7","","0.0","","0.4","","0.0","","0.4","","65","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-12","2011","03","12","","3.0","","0.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-13","2011","03","13","","3.5","","0.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-14","2011","03","14","","","M","-7.5","","","M","","M","","M","0.0","","0.0","","0.0","","55","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-15","2011","03","15","","2.0","","-15.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-16","2011","03","16","","2.0","","-6.0","","-2.0","","20.0","","0.0","","0.0","C","0.0","T","0.0","C","55","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-17","2011","03","17","","6.0","","0.0","","3.0","","15.0","","0.0","","4.2","","0.0","","4.2","","50","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-18","2011","03","18","","7.0","","2.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-19","2011","03","19","","0.0","","-7.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-20","2011","03","20","","2.5","","-12.0","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-21","2011","03","21","","3.5","","-5.0","","-0.8","","18.8","","0.0","","0.0","","","M","","M","40","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-22","2011","03","22","","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-23","2011","03","23","","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","1.0","","1.0","","40","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-24","2011","03","24","","","M","-10.0","","","M","","M","","M","0.0","","0.0","T","0.0","T","40","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-25","2011","03","25","","-1.0","","-7.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-26","2011","03","26","","-1.0","","-7.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-27","2011","03","27","","0.0","","-11.5","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-28","2011","03","28","","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-29","2011","03","29","","4.5","","-5.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-30","2011","03","30","","5.0","","-7.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-03-31","2011","03","31","","7.0","","-6.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-01","2011","04","01","","3.0","","-2.0","","0.5","","17.5","","0.0","","3.4","","0.0","","3.4","","25","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-02","2011","04","02","","9.5","","-1.5","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-03","2011","04","03","","8.0","","-1.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-04","2011","04","04","","","M","-2.0","","","M","","M","","M","7.3","","0.0","","7.3","","15","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-05","2011","04","05","","5.0","","2.0","","3.5","","14.5","","0.0","","4.5","","0.0","","4.5","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-06","2011","04","06","","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-07","2011","04","07","","5.0","","-4.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-08","2011","04","08","","10.0","","-4.5","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-09","2011","04","09","","14.0","","0.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-10","2011","04","10","","15.5","","-0.5","","7.5","","10.5","","0.0","","1.4","E","0.0","","1.4","E","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-11","2011","04","11","","","M","","M","","M","","M","","M","2.6","E","0.0","","2.6","E","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-12","2011","04","12","","","M","","M","","M","","M","","M","0.0","E","0.0","","0.0","E","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-13","2011","04","13","","","M","","M","","M","","M","","M","3.0","E","0.0","","3.0","E","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-14","2011","04","14","","9.0","","2.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-15","2011","04","15","","3.0","","-6.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-16","2011","04","16","","6.5","","-5.0","","0.8","","17.2","","0.0","","23.8","","3.0","","26.8","","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-17","2011","04","17","","9.5","","0.0","","4.8","","13.2","","0.0","","1.8","","0.0","","1.8","","0","T","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-18","2011","04","18","","4.0","","0.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-72.62","46.20","NICOLET","7025440","2011-04-19","2011","04","19","","8.0","","-1.5","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
