"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-01","2012","01","01","","2.5","","-3.5","","-0.5","","18.5","","0.0","","4.4","","1.4","","5.8","","23","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-02","2012","01","02","","1.0","","-7.0","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","24","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-03","2012","01","03","","","M","-19.5","","","M","","M","","M","0.0","","0.0","","0.0","","23","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-04","2012","01","04","","-14.0","","-28.5","","-21.3","","39.3","","0.0","","0.0","","4.2","","4.2","","23","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-05","2012","01","05","","","M","-19.0","","","M","","M","","M","0.0","","0.0","","0.0","","27","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-06","2012","01","06","","-9.0","","-19.5","","-14.3","","32.3","","0.0","","0.0","","2.2","","2.2","","25","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-07","2012","01","07","","-4.0","","-11.5","","-7.8","","25.8","","0.0","","0.0","","5.8","","5.8","","26","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-08","2012","01","08","","-7.0","","-14.0","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","31","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-09","2012","01","09","","-4.0","","-15.5","","-9.8","","27.8","","0.0","","0.0","","1.3","","1.3","","30","","","","",""
"-73.35","46.35","ST CHARLES DE MANDEVILLE","7016960","2012-01-10","2012","01","10","","0.0","","-11.5","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
